step,T,Epot,Efull,SolventMolsThroughZ,
1.995e-012,236.414,-11123.9,-7859.93,0,
2e-012,236.924,-11144.8,-7873.74,0,
2.005e-012,237.799,-11144.6,-7861.53,0,
2.01e-012,235.108,-11090.7,-7844.7,0,
2.015e-012,233.528,-11038.2,-7814.06,0,
2.02e-012,235.199,-11031.1,-7783.87,0,
2.025e-012,236.156,-11022.7,-7762.24,0,
2.03e-012,235.694,-10995.4,-7741.39,0,
2.035e-012,235.711,-10973.4,-7719.15,0,
2.04e-012,236.812,-10969.5,-7700.01,0,
2.045e-012,238.481,-10980.5,-7687.98,0,
2.05e-012,239.718,-10993.2,-7683.64,0,
2.055e-012,241.102,-10984.8,-7656.13,0,
2.06e-012,239.806,-10938.8,-7628.03,0,
2.065e-012,240.783,-10921.2,-7596.89,0,
2.07e-012,243.151,-10932.9,-7575.88,0,
2.075e-012,243.979,-10932.1,-7563.66,0,
2.08e-012,245.144,-10940.4,-7555.9,0,
2.085e-012,245.729,-10947.4,-7554.79,0,
2.09e-012,243.33,-10908.3,-7548.79,0,
2.095e-012,241.148,-10858.6,-7529.21,0,
2.1e-012,240.986,-10830.1,-7502.98,0,
2.105e-012,243.538,-10814.8,-7452.48,0,
2.11e-012,244.878,-10793.8,-7412.97,0,
2.115e-012,246.597,-10785.7,-7381.12,0,
2.12e-012,248.744,-10794.4,-7360.14,0,
2.125e-012,249.549,-10792.9,-7347.6,0,
2.13e-012,249.291,-10778.6,-7336.86,0,
2.135e-012,248.01,-10746.8,-7322.74,0,
2.14e-012,247.162,-10712.8,-7300.39,0,
2.145e-012,248.242,-10706.1,-7278.84,0,
2.15e-012,248.294,-10688.9,-7260.9,0,
2.155e-012,250.332,-10672.5,-7216.33,0,
2.16e-012,253.324,-10680.8,-7183.35,0,
2.165e-012,255.248,-10689.4,-7165.42,0,
2.17e-012,254.62,-10664.6,-7149.24,0,
2.175e-012,256.592,-10678.4,-7135.86,0,
2.18e-012,255.49,-10656,-7128.64,0,
2.185e-012,251.195,-10573.4,-7105.35,0,
2.19e-012,250.481,-10524.7,-7066.46,0,
2.195e-012,253.13,-10528.3,-7033.55,0,
