t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
75.500000,298.000000,392.540876,99.032198,-12.929885,569.491657,2879.203329,6832.880241,-2356.176621,-2147.094321,-7903.212922,-1248.987131
76.000000,298.000000,390.787648,86.790542,-16.568797,551.757715,3004.283853,6939.607399,-2420.468199,-2138.100630,-7996.456101,-1336.307284
76.500000,298.000000,392.419799,72.537655,-18.836834,544.190351,3114.224468,7036.662439,-2475.478163,-2108.401102,-8067.127927,-1418.129626
77.000000,298.000000,397.658574,56.979571,-19.353793,547.163258,3203.974410,7122.079941,-2521.349313,-2059.216254,-8118.422442,-1490.680199
77.500000,298.000000,405.143792,40.975337,-17.878448,560.044899,3274.848147,7193.690479,-2558.591087,-1991.607513,-8153.729999,-1552.090238
78.000000,298.000000,412.414057,25.452199,-14.346257,581.116077,3322.447630,7249.148573,-2589.639604,-1908.878671,-8176.363886,-1600.659163
78.500000,298.000000,416.883448,11.342629,-8.880695,607.804191,3346.814230,7286.022027,-2615.622897,-1817.199736,-8189.314181,-1633.645829
79.000000,298.000000,416.904872,-0.517853,-1.785545,636.987418,3347.071046,7301.912131,-2637.995140,-1719.803817,-8195.080830,-1650.600503
79.500000,298.000000,412.447263,-9.462236,6.485922,665.358776,3320.689708,7294.620573,-2659.592964,-1621.289089,-8195.603595,-1648.608222
80.000000,298.000000,405.112054,-15.048659,15.378309,689.836614,3270.512054,7262.334508,-2682.046992,-1520.427898,-8192.321536,-1625.472175
80.500000,298.000000,397.480269,-17.103368,24.295056,707.791656,3197.501117,7203.838573,-2705.776981,-1428.737319,-8186.326180,-1581.273345
81.000000,298.000000,392.073657,-15.740542,32.663591,717.376305,3104.061108,7118.710581,-2731.470252,-1344.858956,-8178.547443,-1518.005322
81.500000,298.000000,390.366069,-11.352896,39.993651,717.782120,2992.680340,7007.472796,-2758.571627,-1272.844476,-8169.887707,-1434.212041
82.000000,298.000000,392.267738,-4.580821,45.917433,709.234544,2865.882710,6871.675405,-2788.279215,-1212.776079,-8161.243930,-1336.052240
82.500000,298.000000,396.289753,3.749021,50.214807,693.059688,2723.223680,6713.919827,-2818.354542,-1164.785414,-8153.434130,-1225.982695
83.000000,298.000000,400.285155,12.713718,52.826790,671.511516,2566.079651,6537.776092,-2846.952430,-1127.485766,-8147.050367,-1107.185258
83.500000,298.000000,402.440248,21.375293,53.851441,647.261535,2398.174388,6347.666037,-2872.219050,-1094.861968,-8142.323731,-984.815293
84.000000,298.000000,402.073629,28.885803,53.531732,623.275421,2217.940245,6148.707750,-2892.954510,-1072.277876,-8139.039887,-863.298323
84.500000,298.000000,399.881417,34.563153,52.237226,602.374998,2034.630345,5946.518361,-2906.060315,-1053.921979,-8136.572246,-751.053263
85.000000,298.000000,397.536181,37.934565,50.432534,586.857461,1848.172166,5747.012400,-2912.192001,-1038.366170,-8133.945930,-641.603289
85.500000,298.000000,396.835041,38.823263,48.637681,578.021853,1662.085987,5556.193318,-2910.468251,-1024.779907,-8129.994595,-543.213263
86.000000,298.000000,398.788874,37.325733,47.381941,576.445709,1480.302014,5379.929239,-2901.216979,-1010.776084,-8123.514016,-459.612500
86.500000,298.000000,403.062460,33.808327,47.152063,581.514208,1308.595304,5223.737182,-2885.023989,-991.261035,-8113.393392,-393.084760
87.000000,298.000000,408.034302,28.863769,48.341482,591.831132,1151.372080,5092.594894,-2863.938420,-970.427258,-8098.717285,-345.340424
87.500000,298.000000,411.464599,23.235822,51.205244,605.253128,1012.444062,4990.795068,-2838.123499,-944.693293,-8078.817216,-316.220179
88.000000,298.000000,411.477693,17.724664,55.825228,619.217985,897.792042,4921.851342,-2808.600723,-915.874743,-8053.313960,-306.577820
88.500000,298.000000,407.415789,13.104923,62.087937,630.943333,810.887528,4888.449112,-2782.276759,-885.320216,-8022.131434,-316.187594
89.000000,298.000000,400.181097,10.016630,69.682812,637.894054,756.653778,4892.426113,-2757.751533,-852.695698,-7985.536834,-344.289894
89.500000,298.000000,391.915374,8.911438,78.124654,638.266325,735.928971,4934.780586,-2734.781751,-819.108626,-7944.212432,-388.338501
90.000000,298.000000,385.128603,9.978350,86.795560,630.785866,755.175544,5015.684908,-2716.068515,-786.798143,-7899.350827,-446.255963
90.500000,298.000000,381.667768,13.136588,95.006666,615.238262,806.213605,5134.488852,-2700.973682,-760.349380,-7852.763336,-512.376399
91.000000,298.000000,381.976572,18.040131,102.076464,592.483109,894.946421,5289.719903,-2688.960242,-741.848120,-7806.971131,-585.196688
91.500000,298.000000,384.946921,24.119281,107.410894,564.385556,1019.342361,5479.076372,-2679.536213,-733.061796,-7765.227307,-661.241844
92.000000,298.000000,388.435802,30.641290,110.579718,533.420257,1175.393475,5699.453440,-2671.283924,-736.002649,-7731.457347,-736.623772
92.500000,298.000000,390.230152,36.798038,111.370288,502.617914,1358.794075,5947.000153,-2663.837838,-753.114216,-7710.106145,-812.329652
93.000000,298.000000,389.019540,41.801995,109.817631,475.081441,1565.183778,6217.225564,-2655.689684,-787.048079,-7705.914358,-882.945392
93.500000,298.000000,384.951639,44.975423,106.203952,453.494112,1788.327647,6505.143139,-2643.804456,-838.488210,-7723.645802,-947.191659
94.000000,298.000000,379.548081,45.813531,101.023241,439.978251,2023.495007,6805.433927,-2628.142386,-908.650965,-7767.814812,-1005.396578
94.500000,298.000000,374.999071,44.067452,94.920235,435.892193,2261.692335,7112.600649,-2608.473904,-998.745878,-7842.435516,-1056.645488
95.000000,298.000000,373.167450,39.769481,88.614642,441.654442,2498.203061,7421.101608,-2584.287792,-1109.879450,-7950.797627,-1098.674285
95.500000,298.000000,374.742476,33.247522,82.809363,456.791382,2726.523429,7725.460252,-2555.715440,-1241.110712,-8095.274543,-1131.658069
96.000000,298.000000,378.925449,25.083282,78.105137,479.830281,2941.224814,8020.361947,-2523.710849,-1393.878929,-8277.161953,-1155.770212
96.500000,298.000000,383.786250,16.052935,74.924503,508.627250,3138.081690,8300.758327,-2490.484998,-1566.770075,-8496.545838,-1171.299984
