step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
1.465e-012,129.636,-8081.19,-7832.2,0,0,-0.214891,286.855,-0.295232
1.47e-012,132.542,-8098.67,-7844.1,0,0,-0.215658,287.503,-0.293796
1.475e-012,134.658,-8116.23,-7857.59,0,0,-0.216256,288.148,-0.292357
1.48e-012,133.051,-8127.17,-7871.62,0,0,-0.21661,288.789,-0.290915
1.485e-012,128.917,-8130.63,-7883.03,0,0,-0.216759,289.428,-0.289469
1.49e-012,125.004,-8130.86,-7890.77,0,0,-0.216793,290.063,-0.28802
1.495e-012,122.07,-8130.83,-7896.37,0,0,-0.216766,290.695,-0.286569
1.5e-012,119.513,-8129.41,-7899.87,0,0,-0.216699,291.324,-0.285113
1.505e-012,120.719,-8132.67,-7900.81,0,0,-0.216591,291.95,-0.283655
1.51e-012,124.244,-8158.13,-7919.5,0,0,-0.216411,292.572,-0.282194
1.515e-012,127.092,-8167.66,-7923.56,0,0,-0.216151,293.191,-0.28073
1.52e-012,129.579,-8178.49,-7929.61,0,0,-0.215771,293.807,-0.279262
1.525e-012,128.862,-8184.19,-7936.69,0,0,-0.215105,294.42,-0.277791
1.53e-012,126.195,-8185.1,-7942.73,0,0,-0.214052,295.03,-0.276318
1.535e-012,123.8,-8184.56,-7946.78,0,0,-0.212776,295.636,-0.274841
1.54e-012,118.86,-8177.14,-7948.86,0,0,-0.21144,296.239,-0.273362
1.545e-012,115.103,-8168.29,-7947.21,0,0,-0.209946,296.839,-0.271879
1.55e-012,110.451,-8154.07,-7941.93,0,0,-0.208303,297.435,-0.270393
1.555e-012,111.433,-8145.92,-7931.89,0,0,-0.206893,298.028,-0.268904
