step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
1.085e-012,210.719,-8104.01,-7699.29,0,0,-0.162458,0.519644,-585,0,-0.171259
1.09e-012,215.687,-8122.45,-7708.19,0,0,-0.164055,0.520072,-590,0,-0.174198
1.095e-012,221.768,-8138.94,-7713,0,0,-0.165693,0.520331,-595,0,-0.177161
1.1e-012,225.654,-8152.4,-7719,0,0,-0.167214,0.520222,-600,0,-0.18015
1.105e-012,231.332,-8172.38,-7728.07,0,0,-0.168755,0.519526,-605,0,-0.183164
1.11e-012,242.788,-8204.49,-7738.18,0,0,-0.170351,0.518248,-610,0,-0.186203
1.115e-012,256.12,-8238.85,-7746.93,0,0,-0.171693,0.516607,-615,0,-0.189266
1.12e-012,262.582,-8258.68,-7754.35,0,0,-0.172571,0.514797,-620,0,-0.192355
1.125e-012,260.378,-8259.02,-7758.93,0,0,-0.173121,0.512912,-625,0,-0.195469
1.13e-012,256.709,-8253.43,-7760.39,0,0,-0.173384,0.510987,-630,0,-0.198607
1.135e-012,251.098,-8240.36,-7758.09,0,0,-0.173127,0.509038,-635,0,-0.201771
1.14e-012,244.395,-8222.87,-7753.48,0,0,-0.17231,0.50707,-640,0,-0.20496
1.145e-012,239.936,-8209.18,-7748.35,0,0,-0.171308,0.505086,-645,0,-0.208174
1.15e-012,238.977,-8202.75,-7743.76,0,0,-0.170483,0.503086,-650,0,-0.211413
1.155e-012,246.483,-8211.9,-7738.49,0,0,-0.169898,0.501069,-655,0,-0.214676
1.16e-012,263.334,-8240.06,-7734.29,0,0,-0.169519,0.499038,-660,0,-0.217965
1.165e-012,286.5,-8282.22,-7731.96,0,0,-0.169358,0.496995,-665,0,-0.221279
1.17e-012,313.191,-8333.42,-7731.89,0,0,-0.169369,0.494945,-670,0,-0.224618
1.175e-012,337.22,-8382.57,-7734.89,0,0,-0.169482,0.492891,-675,0,-0.227981
1.18e-012,351.532,-8414.55,-7739.38,0,0,-0.169792,0.490835,-680,0,-0.23137
1.185e-012,362.283,-8441.18,-7745.36,0,0,-0.170474,0.488781,-685,0,-0.234784
1.19e-012,365.524,-8454.86,-7752.81,0,0,-0.171423,0.486726,-690,0,-0.238223
1.195e-012,364.065,-8461.91,-7762.67,0,0,-0.172209,0.484672,-695,0,-0.241686
1.2e-012,364.305,-8469.54,-7769.84,0,0,-0.172529,0.482614,-700,0,-0.245175
1.205e-012,370.448,-8487.21,-7775.71,0,0,-0.172512,0.480554,-705,0,-0.248689
1.21e-012,379.103,-8511.48,-7783.35,0,0,-0.172396,0.478488,-710,0,-0.252227
1.215e-012,390.964,-8544.32,-7793.42,0,0,-0.172143,0.476417,-715,0,-0.255791
1.22e-012,403.962,-8579.78,-7803.91,0,0,-0.171633,0.474339,-720,0,-0.25938
1.225e-012,411.557,-8604.75,-7814.29,0,0,-0.170891,0.472256,-725,0,-0.262994
1.23e-012,404.039,-8601.62,-7825.6,0,0,-0.169846,0.470168,-730,0,-0.266632
1.235e-012,391.087,-8587.66,-7836.51,0,0,-0.16822,0.468077,-735,0,-0.270296
1.24e-012,373.346,-8562.16,-7845.09,0,0,-0.165946,0.465983,-740,0,-0.273985
1.245e-012,364.447,-8553.56,-7853.59,0,0,-0.163352,0.463886,-745,0,-0.277699
1.25e-012,365.095,-8562.91,-7861.69,0,0,-0.160756,0.461789,-750,0,-0.281438
1.255e-012,376.643,-8593.63,-7870.23,0,0,-0.158304,0.459695,-755,0,-0.285201
1.26e-012,389.326,-8627.05,-7879.29,0,0,-0.156275,0.457606,-760,0,-0.28899
1.265e-012,402.335,-8661.98,-7889.24,0,0,-0.154968,0.455519,-765,0,-0.292804
1.27e-012,407.922,-8684.14,-7900.66,0,0,-0.15426,0.453426,-770,0,-0.296642
1.275e-012,410.287,-8700.83,-7912.81,0,0,-0.153819,0.451299,-775,0,-0.300506
1.28e-012,401.651,-8697.48,-7926.05,0,0,-0.153645,0.449095,-780,0,-0.304395
1.285e-012,383.99,-8676.94,-7939.43,0,0,-0.153758,0.446752,-785,0,-0.308309
1.29e-012,366.201,-8652.95,-7949.61,0,0,-0.153696,0.444212,-790,0,-0.312247
1.295e-012,356.588,-8642.45,-7957.57,0,0,-0.153023,0.441437,-795,0,-0.316211
1.3e-012,353.331,-8642.56,-7963.94,0,0,-0.151926,0.438423,-800,0,-0.3202
1.305e-012,351.069,-8644.29,-7970,0,0,-0.150632,0.435205,-805,0,-0.324214
1.31e-012,351.802,-8651.68,-7975.99,0,0,-0.148792,0.431841,-810,0,-0.328252
1.315e-012,354.237,-8661.57,-7981.2,0,0,-0.146149,0.428388,-815,0,-0.332316
1.32e-012,354.819,-8667.66,-7986.18,0,0,-0.143239,0.424884,-820,0,-0.336405
1.325e-012,352.099,-8668.02,-7991.76,0,0,-0.140771,0.421347,-825,0,-0.340519
1.33e-012,344.047,-8657.47,-7996.67,0,0,-0.138861,0.417785,-830,0,-0.344657
1.335e-012,330.501,-8635,-8000.22,0,0,-0.137306,0.414204,-835,0,-0.348821
