step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
1710,262.021,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00241954,0.0577771,-0.0475521,0.620024,0.496496,1
1720,246.692,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00243581,0.0570293,-0.0471215,0.620024,0.496496,1
1730,231.087,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00288268,0.0562104,-0.0470575,0.620024,0.496496,1
1740,198.398,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.0032311,0.0551811,-0.047222,0.620024,0.496496,1
1750,166.865,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00328813,0.0537818,-0.0471929,0.620024,0.496496,1
1760,149.301,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00355258,0.0528106,-0.0470188,0.620024,0.496496,1
1770,151.719,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00361825,0.0529972,-0.0469212,0.620024,0.496496,1
1780,170.773,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00261404,0.0534527,-0.0471539,0.620024,0.496496,1
1790,189.707,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00118121,0.0532545,-0.0473766,0.620024,0.496496,1
1800,208.804,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000689094,0.0529636,-0.0473826,0.620024,0.496496,1
1810,233.929,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00104877,0.0529806,-0.0470965,0.620024,0.496496,1
1820,276.558,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00120502,0.05279,-0.0470091,0.620024,0.496496,1
