tor1(deg),E(kJ/mol)
-0.440590,0.147241
-0.451803,0.145168
-0.457451,0.139047
-0.461835,0.134944
-0.466407,0.134785
-0.470002,0.137327
-0.473900,0.140757
-0.475059,0.144673
-0.474490,0.149652
-0.473333,0.154102
-0.473178,0.156180
-0.474471,0.156183
-0.476757,0.155457
-0.478730,0.155524
-0.480506,0.155179
-0.478216,0.151932
-0.477779,0.148229
-0.477242,0.144813
-0.479165,0.140329
-0.481327,0.137375
-0.483344,0.134482
-0.484378,0.132435
-0.484774,0.131124
-0.483948,0.128537
-0.481129,0.127256
-0.478107,0.130187
-0.474277,0.131336
-0.469122,0.129783
-0.464721,0.128469
-0.462790,0.127658
-0.461194,0.127867
-0.460802,0.128848
-0.463624,0.133531
-0.463666,0.136472
-0.466384,0.135385
-0.471304,0.135939
-0.475511,0.134003
-0.479263,0.132011
-0.482263,0.131118
-0.487269,0.127644
-0.490544,0.125345
-0.494459,0.121771
-0.499207,0.117545
-0.504746,0.115555
-0.509276,0.114965
-0.514756,0.114156
-0.520263,0.117926
-0.522952,0.119210
-0.523544,0.115634
-0.527436,0.112381
-0.530871,0.110121
-0.531744,0.107958
-0.531766,0.105167
-0.526594,0.103977
-0.520657,0.107378
-0.514989,0.109049
-0.511280,0.109134
-0.509626,0.108840
-0.507259,0.110017
-0.505149,0.109510
-0.507064,0.111899
-0.509814,0.115735
-0.509847,0.115523
-0.509387,0.116552
-0.509656,0.116274
-0.509291,0.115468
-0.505821,0.114542
-0.502679,0.116712
-0.500499,0.118924
-0.497454,0.121036
-0.495407,0.118094
