step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
1.41e-012,101.575,-8236.89,-8036.73,1,2,-0.0295056,12.4695,-0.0953737
1.415e-012,105.124,-8237.03,-8029.88,1,2,-0.0299939,12.5112,-0.0953112
1.42e-012,109.283,-8241.44,-8026.1,1,2,-0.0306582,12.5527,-0.0952486
1.425e-012,113.405,-8248.52,-8025.05,1,2,-0.0311849,12.5943,-0.0951857
1.43e-012,117.531,-8259.54,-8027.94,1,2,-0.0315064,12.6358,-0.0951226
1.435e-012,119.743,-8268.75,-8032.79,1,2,-0.0319355,12.6773,-0.0950593
1.44e-012,120.448,-8276.2,-8038.85,1,2,-0.0325357,12.7188,-0.0949958
1.445e-012,119.259,-8279.86,-8044.86,1,2,-0.0330238,12.7603,-0.0949321
1.45e-012,117.288,-8281.16,-8050.04,1,2,-0.0333303,12.8017,-0.0948682
1.455e-012,116.572,-8279.88,-8050.17,1,2,-0.0336603,12.8431,-0.0948041
1.46e-012,117.464,-8282.22,-8050.76,1,2,-0.0340396,12.8845,-0.0947398
1.465e-012,120.565,-8290.05,-8052.47,1,2,-0.0342955,12.9258,-0.0946753
1.47e-012,125.079,-8304.51,-8058.04,1,2,-0.0343997,12.9671,-0.0946106
1.475e-012,127.981,-8317.97,-8065.78,1,2,-0.0344476,13.0084,-0.0945456
1.48e-012,129.417,-8330.32,-8075.3,1,2,-0.034406,13.0497,-0.0944805
