step,T,Epot,Efull,
1.076e-011,304.378,-7042.06,-1993.21,
1.078e-011,299.634,-6903.25,-1933.09,
1.08e-011,294.869,-6789.47,-1898.34,
1.082e-011,296.452,-6849.52,-1932.14,
1.084e-011,290.783,-6710.62,-1887.27,
1.086e-011,298.096,-6828.31,-1883.66,
1.088e-011,299.434,-6842.96,-1876.11,
1.09e-011,298.275,-6855.63,-1908,
1.092e-011,299.835,-6865.75,-1892.24,
1.094e-011,302.355,-6907.83,-1892.54,
1.096e-011,302.538,-6958.03,-1939.7,
1.098e-011,297.777,-6834.31,-1894.95,
1.1e-011,304.415,-6941.17,-1891.7,
1.102e-011,302.349,-6930.7,-1915.49,
1.104e-011,295.947,-6816.36,-1907.36,
1.106e-011,300.772,-6917.56,-1928.52,
1.108e-011,296.516,-6820.08,-1901.64,
1.11e-011,297.224,-6844.51,-1914.33,
1.112e-011,300.764,-6898.25,-1909.35,
1.114e-011,305.422,-7001.7,-1935.53,
1.116e-011,308.422,-7024.5,-1908.56,
1.118e-011,299.665,-6873.59,-1902.91,
1.12e-011,307.382,-7059.4,-1960.72,
1.122e-011,304.029,-6975.19,-1932.12,
1.124e-011,298.453,-6882.82,-1932.25,
1.126e-011,303.753,-7021.74,-1983.25,
1.128e-011,302.093,-6984.01,-1973.06,
1.13e-011,299.165,-6904.25,-1941.86,
1.132e-011,299.445,-6932.25,-1965.22,
1.134e-011,304.073,-7056.4,-2012.6,
1.136e-011,294.385,-6820.42,-1937.31,
1.138e-011,301.051,-6961.22,-1967.56,
1.14e-011,303.242,-7000.09,-1970.09,
1.142e-011,300.885,-6944.74,-1953.82,
1.144e-011,302.286,-6938.76,-1924.6,
1.146e-011,306.363,-7035.27,-1953.49,
1.148e-011,303.219,-6982.51,-1952.89,
1.15e-011,296.695,-6834.58,-1913.17,
1.152e-011,299.997,-6913.87,-1937.68,
1.154e-011,300.993,-6966.4,-1973.69,
1.156e-011,293.54,-6816.96,-1947.88,
1.158e-011,301.244,-6946.98,-1950.11,
1.16e-011,294.95,-6838.26,-1945.79,
1.162e-011,293.398,-6796.48,-1929.75,
1.164e-011,303.613,-6972.86,-1936.7,
1.166e-011,304.804,-6989.15,-1933.23,
